PUESTO;SALARIO;JORNADA;AÑOS DE SERVICIO;MES COMPLETO;CARGO ADMINISTRATIVO
PROFESOR INTERINO;4060884.50;1.250;17; ;JEFE DE AREA DE LOGÍSTICA                                                                                                                                                                                                                                       
PROFESIONAL B;2345272.00;1.000;17; ;PENDIENTE                                                                                                                                                                                                                                                       
PROFESOR ASOCIADO                      ;2944469.00;1.000;20; ;PUESTO NO ADMINISTRATIVO
PROFESOR ADJUNTO                       ;2336094.00;1.000;16; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL C;3193514.00;1.000;22; ;PROFESIONAL ASESOR DE LOS MIEMBROS DEL CONSEJO UNIVERSITARIO                                                                                                                                                                                                    
PROFESOR INTERINO LICENCIADO           ;106929.20;0.125;8; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO;3419503.25;1.250;20; ;JEFE DE MANTENIMIENTO Y CONSTRUCCIÓN                                                                                                                                                                                                                            
TECNICO ESPECIALIZADO A;1539037.00;1.000;21; ;CAJERO B                                                                                                                                                                                                                                                        
PROFESOR INTERINO LICENCIADO           ;716424.00;0.500;11; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1555890.00;1.000;10; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL B;2659047.00;1.000;17; ;PROFESIONAL EN TRABAJO SOCIAL DE SEDE                                                                                                                                                                                                                           
PROFESOR ASOCIADO                      ;2809045.00;1.000;22; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL B;2719518.00;1.000;16; ;PROFESIONAL EN ORIENTACIÓN ESTUDIANTIL DE SEDE                                                                                                                                                                                                                  
TECNICO ESPECIALIZADO A;1392761.65;1.000;22; ;TÉCNICO EN CARGAS ACADÉMICAS                                                                                                                                                                                                                                    
TRABAJADOR OPERATIVO C;1300377.00;1.000;21; ;ENCARGADO DE VIGILANCIA DE BIBLIOTECA                                                                                                                                                                                                                           
PROFESOR INTERINO LICENCIADO           ;1329612.00;1.000;7; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL B;2258353.00;1.000;16; ;PROFESIONAL EN ACREDITACIÓN Y ASUNTOS ESTUDIANTILES DE DEPARTAMENTOS CLÍNICOS                                                                                                                                                                                   
TRABAJADOR OPERATIVO B;1132795.00;1.000;22; ;CONSERJE                                                                                                                                                                                                                                                        
PROFESIONAL A;1796821.00;1.000;21; ;JEFATURA ADMINISTRATIVA A DE CENTRO                                                                                                                                                                                                                             
PROFESOR CATEDRATICO                   ;796109.75;0.250;21; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;967690.85;1.000;4; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;1821023.00;1.000;15; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;1754787.00;1.000;21; ;TÉCNICO EN COMPUTACIÓN E INFORMÁTICA                                                                                                                                                                                                                            
PROFESOR INSTRUCTOR                    ;225271.55;0.125;21; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;1327878.05;0.875;14; ;PUESTO NO ADMINISTRATIVO
DIRECTOR;3913978.00;1.000;21; ;DIRECTOR                                                                                                                                                                                                                                                        
